stocks,years,time
500,1,0.008890151977539062
500,2,0.013168096542358398
500,3,0.02175140380859375
500,4,0.024399518966674805
500,5,0.031074047088623047
1000,1,0.014124393463134766
1000,2,0.025617122650146484
1000,3,0.036310434341430664
1000,4,0.04765462875366211
1000,5,0.06020355224609375
1500,1,0.01988053321838379
1500,2,0.03578472137451172
1500,3,0.05578494071960449
1500,4,0.0760800838470459
1500,5,0.09068655967712402
2000,1,0.026465654373168945
2000,2,0.05356168746948242
2000,3,0.07470560073852539
2000,4,0.09938478469848633
2000,5,0.12220120429992676
2500,1,0.03265047073364258
2500,2,0.0679624080657959
2500,3,0.09339547157287598
2500,4,0.12217235565185547
2500,5,0.16095805168151855
3000,1,0.03953671455383301
3000,2,0.07605528831481934
3000,3,0.10989689826965332
3000,4,0.14614272117614746
3000,5,0.18542742729187012
3500,1,0.04380941390991211
3500,2,0.08937954902648926
3500,3,0.13165688514709473
3500,4,0.17580580711364746
3500,5,0.23322463035583496
4000,1,0.04658079147338867
4000,2,0.10062980651855469
4000,3,0.14280152320861816
4000,4,0.18924999237060547
4000,5,0.28319835662841797
4500,1,0.04558920860290527
4500,2,0.09032702445983887
4500,3,0.15166997909545898
4500,4,0.2275407314300537
4500,5,0.3433406352996826
5000,1,0.047821760177612305
5000,2,0.09113836288452148
5000,3,0.15580129623413086
5000,4,0.23073244094848633
5000,5,0.35682010650634766
