stocks,years,time
500,1,0.00334378
500,2,0.00656766
500,3,0.00977998
500,4,0.013051
500,5,0.0173867
1000,1,0.00600496
1000,2,0.0143016
1000,3,0.0208201
1000,4,0.0276087
1000,5,0.0352819
1500,1,0.00934729
1500,2,0.0205686
1500,3,0.0302213
1500,4,0.0385965
1500,5,0.0492962
2000,1,0.0154822
2000,2,0.0269878
2000,3,0.0402893
2000,4,0.0505094
2000,5,0.0674883
2500,1,0.0148896
2500,2,0.0336719
2500,3,0.0483874
2500,4,0.0621447
2500,5,0.0818452
3000,1,0.0184557
3000,2,0.0417742
3000,3,0.0583626
3000,4,0.073879
3000,5,0.0957459
3500,1,0.0254653
3500,2,0.0479581
3500,3,0.0657826
3500,4,0.0859333
3500,5,0.115809
4000,1,0.0220756
4000,2,0.0512333
4000,3,0.071903
4000,4,0.0960917
4000,5,0.129486
4500,1,0.0222285
4500,2,0.0521465
4500,3,0.0775632
4500,4,0.107415
4500,5,0.141656
5000,1,0.0225605
5000,2,0.051882
5000,3,0.0782316
5000,4,0.106355
5000,5,0.143415
